CONGLOME,VIVIENDA,ID,P209,P210_PSOC_01
5978,159,5.0,3.0,8.0
8342,37,7.0,3.0,8.0
7041,301,5.0,2.0,8.0
7069,1,4.0,3.0,8.0
5130,18,5.0,3.0,8.0
9684,109,6.0,3.0,8.0
9659,116,5.0,3.0,8.0
7529,80,5.0,1.0,8.0
7529,60,6.0,1.0,8.0
9820,19,99.0,3.0,8.0
6059,36,6.0,3.0,8.0
6141,110,4.0,1.0,8.0
9601,10,8.0,3.0,8.0
9601,10,7.0,3.0,8.0
6792,91,4.0,3.0,8.0
6788,146,4.0,3.0,8.0
6788,61,6.0,,
9601,9,5.0,3.0,8.0
6807,45,5.0,6.0,8.0
6798,63,5.0,1.0,8.0
6063,20,4.0,3.0,8.0
6078,65,5.0,1.0,8.0
6125,96,3.0,1.0,8.0
7033,42,6.0,,
5933,112,6.0,3.0,8.0
7439,30,6.0,3.0,8.0
9827,29,5.0,3.0,8.0
10371,101,3.0,3.0,8.0
7443,165,9.0,3.0,8.0
5107,29,8.0,3.0,8.0
5107,35,5.0,3.0,8.0
9342,127,6.0,2.0,8.0
9342,58,7.0,1.0,8.0
5023,40,7.0,6.0,8.0
5023,80,6.0,3.0,8.0
5029,27,3.0,1.0,8.0
5761,92,4.0,3.0,2.0
10060,132,4.0,1.0,2.0
10060,52,4.0,3.0,8.0
9232,99,4.0,1.0,8.0
9233,32,4.0,1.0,8.0
7564,29,99.0,3.0,8.0
8756,64,7.0,1.0,8.0
8757,108,5.0,6.0,8.0
6843,22,4.0,1.0,8.0
6843,53,8.0,1.0,8.0
6850,35,5.0,1.0,8.0
8918,91,7.0,1.0,8.0
7888,80,4.0,5.0,8.0
9073,40,6.0,6.0,8.0
10111,55,5.0,,
8327,64,7.0,3.0,8.0
8327,66,10.0,3.0,8.0
8327,68,5.0,3.0,8.0
8408,6,6.0,7.0,10.0
6713,2,7.0,1.0,8.0
6713,112,4.0,6.0,8.0
6740,27,6.0,1.0,8.0
6740,108,3.0,3.0,8.0
7605,104,4.0,3.0,8.0
10122,30,6.0,6.0,8.0
10122,114,9.0,3.0,8.0
10122,114,11.0,3.0,8.0
5849,29,6.0,6.0,8.0
5938,138,5.0,3.0,8.0
7571,152,4.0,3.0,8.0
7087,126,5.0,1.0,8.0
8770,114,99.0,1.0,8.0
8770,114,3.0,1.0,8.0
5792,50,8.0,6.0,8.0
9337,9,99.0,3.0,8.0
9338,58,5.0,1.0,8.0
9445,30,6.0,3.0,8.0
5392,168,99.0,3.0,8.0
9478,63,6.0,,
7180,96,5.0,1.0,8.0
7182,89,99.0,6.0,8.0
8217,79,99.0,3.0,8.0
8831,57,4.0,3.0,8.0
9607,55,4.0,1.0,8.0
8305,49,8.0,3.0,5.0
8305,49,7.0,3.0,5.0
9184,22,3.0,6.0,8.0
9188,120,4.0,3.0,8.0
5138,77,9.0,3.0,8.0
5204,44,6.0,1.0,8.0
5435,208,4.0,3.0,5.0
6546,23,5.0,,
6546,36,6.0,1.0,8.0
6038,67,5.0,6.0,8.0
8671,36,99.2,3.0,8.0
8671,36,99.1,3.0,8.0
8671,123,6.0,3.0,8.0
5451,132,4.0,3.0,8.0
9400,41,6.0,,
10183,117,99.0,6.0,8.0
5154,12,6.0,3.0,8.0
5345,4,3.0,6.0,8.0
5345,85,4.0,1.0,8.0
5500,80,4.0,6.0,8.0
5685,85,3.0,3.0,8.0
8478,52,4.0,5.0,8.0
8916,135,6.0,3.0,8.0
5898,81,3.0,6.0,8.0
7567,87,6.0,3.0,8.0
9507,49,5.0,1.0,8.0
9508,62,6.0,1.0,8.0
6065,45,99.0,1.0,8.0
6195,68,99.0,6.0,8.0
6207,110,4.0,3.0,8.0
7818,44,5.0,1.0,8.0
7326,109,5.0,1.0,8.0
7442,373,5.0,3.0,8.0
9639,88,99.0,3.0,8.0
9639,33,4.0,6.0,8.0
9695,97,6.0,3.0,8.0
5061,68,4.0,3.0,8.0
6981,9,6.0,3.0,8.0
7145,61,2.0,1.0,8.0
7145,97,5.0,6.0,8.0
7145,115,3.0,6.0,8.0
6064,1,4.0,3.0,9.0
