CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
5810,133,99.0,1,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,2.0,,,,,,
5849,29,6.0,2,,,,,,,,,Dias,,6.0,2.0,,,,,,
5898,81,3.0,2,,,,,,,,,Dias,,51.0,2.0,,,,,,
5925,83,9.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,Meses,14.0,,2.0,,,,,,
5933,112,6.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
5933,113,7.0,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0
5938,138,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,17.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
5952,27,4.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
5952,28,4.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,1.0,2.0,,,,,,
5952,63,5.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
5978,159,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Meses,2.0,,2.0,,,,,,
5984,14,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
6028,7,3.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
6038,67,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6044,54,5.0,2,,,,,,,,,Dias,,19.0,2.0,,,,,,
6059,36,6.0,2,,,,,,,,,Meses,9.0,,2.0,,,,,,
6061,77,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,9.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
6063,20,4.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,Dias,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
6064,1,4.0,2,,,,,,,,,Dias,,9.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
6065,45,99.0,2,,,,,,,,,Dias,,19.0,2.0,,,,,,
6065,113,99.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0
6078,65,5.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
6092,139,4.0,2,,,,,,,,,Meses,7.0,,2.0,,,,,,
6095,19,12.0,2,,,,,,,,,Meses,9.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0
6098,140,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,12.0,,2.0,,,,,,
6119,42,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6125,96,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6126,147,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6141,110,4.0,2,,,,,,,,,Dias,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0
6179,159,4.0,2,,,,,,,,,Dias,,45.0,2.0,,,,,,
6195,68,99.0,2,,,,,,,,,Dias,,12.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
6207,110,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6251,58,6.0,2,,,,,,,,,Meses,18.0,,2.0,,,,,,
6266,86,4.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,12.0,2.0,,,,,,
6287,3,3.0,2,,,,,,,,,Dias,,1.0,2.0,,,,,,
6287,77,5.0,2,,,,,,,,,Dias,,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
6292,65,99.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
6298,42,5.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
6298,107,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6314,199,6.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
6322,22,7.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6343,32,8.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,14.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
6343,47,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,28.0,2.0,,,,,,
6343,56,4.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0
6352,351,99.0,1,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Dias,,15.0,2.0,,,,,,
6364,71,7.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
6417,28,5.0,1,32.0,2.0,2.0,2.0,1.0,1.0,1.0,,Meses,3.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0
6417,181,6.0,1,18.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0
6421,45,4.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
6433,36,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0
