CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
8188,47,4.0,2,,,,,,,,,Dias,,69.0,2.0,,,,,,
8188,96,4.0,2,,,,,,,,,Dias,,9.0,2.0,,,,,,
8188,128,9.0,2,,,,,,,,,Dias,,52.0,2.0,,,,,,
8201,157,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
8201,175,6.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
8217,79,99.0,2,,,,,,,,,Dias,,17.0,2.0,,,,,,
8238,122,4.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
8245,102,6.0,2,,,,,,,,,Dias,,17.0,2.0,,,,,,
8281,19,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8281,19,9.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
8281,76,99.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
8282,73,4.0,2,,,,,,,,,Dias,,13.0,2.0,,,,,,
8305,49,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
8305,49,8.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
8307,39,6.0,2,,,,,,,,,Meses,6.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0
8307,39,99.0,2,,,,,,,,,Dias,,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
8307,90,5.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
8307,114,7.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8311,102,9.0,2,,,,,,,,,Meses,10.0,,2.0,,,,,,
8311,105,10.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8315,17,3.0,2,,,,,,,,,Dias,,31.0,2.0,,,,,,
8315,44,7.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8315,46,5.0,2,,,,,,,,,Dias,,55.0,2.0,,,,,,
8315,52,8.0,2,,,,,,,,,Dias,,55.0,2.0,,,,,,
8317,3,99.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
8317,68,7.0,2,,,,,,,,,Meses,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0
8317,68,99.0,2,,,,,,,,,Dias,,21.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
8318,8,99.0,2,,,,,,,,,Dias,,4.0,2.0,,,,,,
8318,100,8.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8318,101,99.0,2,,,,,,,,,Dias,,36.0,2.0,,,,,,
8327,64,7.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8327,66,10.0,2,,,,,,,,,Meses,3.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0
8327,68,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Meses,1.0,,2.0,,,,,,
8330,15,3.0,2,,,,,,,,,Dias,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
8330,15,6.0,2,,,,,,,,,Meses,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0
8330,106,7.0,2,,,,,,,,,Meses,7.0,,2.0,,,,,,
8332,8,99.0,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,Nunca,,,,,,,,,
8335,40,99.0,2,,,,,,,,,Dias,,23.0,2.0,,,,,,
8335,42,7.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
8335,42,8.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
8335,136,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
8335,137,6.0,2,,,,,,,,,Meses,8.0,,2.0,,,,,,
8342,37,7.0,2,,,,,,,,,Dias,,23.0,2.0,,,,,,
8368,55,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
8408,6,6.0,2,,,,,,,,,Dias,,41.0,2.0,,,,,,
8440,199,3.0,2,,,,,,,,,Dias,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
8461,34,3.0,1,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Meses,3.0,,2.0,,,,,,
8478,52,4.0,2,,,,,,,,,Meses,7.0,,2.0,,,,,,
8485,4,99.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
8509,61,6.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
8509,142,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8596,102,9.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
8615,82,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8615,93,6.0,2,,,,,,,,,Dias,,43.0,2.0,,,,,,
8671,36,99.1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,25.0,2.0,,,,,,
8671,36,99.2,2,,,,,,,,,Dias,,3.0,2.0,,,,,,
8671,123,6.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
8676,65,99.0,2,,,,,,,,,Dias,,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
8676,149,8.0,2,,,,,,,,,Dias,,27.0,2.0,,,,,,
8686,27,4.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
8694,61,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,2.0,,,,,,
8707,82,5.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
8729,63,99.0,1,6.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0
8729,65,4.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
8729,67,6.0,1,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,Meses,1.0,,2.0,,,,,,
8756,64,7.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0
8757,23,5.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
8757,108,5.0,2,,,,,,,,,Dias,,42.0,2.0,,,,,,
8770,114,99.0,2,,,,,,,,,Dias,,25.0,2.0,,,,,,
8770,114,3.0,2,,,,,,,,,Dias,,27.0,2.0,,,,,,
8793,47,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
8811,31,8.0,2,,,,,,,,,Meses,29.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0
8811,31,99.0,2,,,,,,,,,Meses,13.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0
8831,57,4.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
8846,129,4.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
8852,84,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,Dias,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
8857,71,5.0,2,,,,,,,,,Dias,,19.0,2.0,,,,,,
8863,3,7.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,Dias,,7.0,2.0,,,,,,
8900,7,99.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,7.0,2.0,,,,,,
8900,95,8.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
8913,96,5.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
8916,135,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
8918,91,7.0,2,,,,,,,,,Dias,,25.0,2.0,,,,,,
8918,218,6.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,2.0
8918,219,99.0,2,,,,,,,,,Dias,,11.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
8918,220,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
8965,38,4.0,2,,,,,,,,,Meses,23.0,,2.0,,,,,,
9024,51,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9040,138,99.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
9049,200,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,21.0,2.0,,,,,,
9054,65,7.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
9054,86,5.0,2,,,,,,,,,Dias,,4.0,2.0,,,,,,
9063,17,6.0,1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,Dias,,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
9063,71,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Dias,,22.0,2.0,,,,,,
9073,40,6.0,1,12.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,4.0,,1.0,2.0,2.0,2.0,1.0,1.0,2.0
9073,133,3.0,1,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,Dias,,23.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
9168,90,4.0,2,,,,,,,,,Dias,,15.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
9173,6,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9173,93,5.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0
9179,9,8.0,2,,,,,,,,,Nunca,,,,,,,,,
9179,73,9.0,2,,,,,,,,,Meses,13.0,,2.0,,,,,,
9184,22,3.0,2,,,,,,,,,Meses,22.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0
9184,108,99.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0
9185,36,4.0,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,Dias,,15.0,2.0,,,,,,
9188,31,99.0,2,,,,,,,,,Nunca,,,,,,,,,
9188,120,4.0,2,,,,,,,,,Dias,,13.0,2.0,,,,,,
9194,71,99.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
9194,73,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,49.0,2.0,,,,,,
9218,15,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,14.0,2.0,,,,,,
9232,99,4.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
9233,32,4.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
9248,9,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
9249,39,7.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9257,105,6.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
9257,105,7.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
9258,55,99.0,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,Dias,,5.0,2.0,,,,,,
9272,76,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,43.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
9274,43,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
9277,2,4.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
9286,108,4.0,2,,,,,,,,,Meses,8.0,,2.0,,,,,,
9286,114,5.0,2,,,,,,,,,Meses,12.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0
9287,142,99.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,4.0,2.0,,,,,,
9317,78,4.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
9337,9,99.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
9338,58,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9342,13,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,13.0,2.0,,,,,,
9342,58,7.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
9342,127,6.0,2,,,,,,,,,Dias,,24.0,2.0,,,,,,
9400,41,6.0,2,,,,,,,,,Dias,,3.0,2.0,,,,,,
9400,70,99.0,2,,,,,,,,,Dias,,3.0,2.0,,,,,,
9404,31,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,5.0,2.0,,,,,,
9445,30,6.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,2.0,2.0,,,,,,
9450,83,6.0,2,,,,,,,,,N/S,,,1.0,2.0,1.0,2.0,2.0,1.0,2.0
9450,85,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,32.0,2.0,,,,,,
9478,63,6.0,2,,,,,,,,,Dias,,48.0,2.0,,,,,,
9507,49,5.0,2,,,,,,,,,Meses,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0
9508,62,6.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
9525,84,99.0,2,,,,,,,,,Dias,,4.0,2.0,,,,,,
9539,3,99.0,2,,,,,,,,,Dias,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
9568,21,4.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
9601,9,5.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
9601,10,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9601,10,8.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9607,55,4.0,2,,,,,,,,,Dias,,16.0,2.0,,,,,,
9607,105,10.0,2,,,,,,,,,Meses,6.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0
9638,64,6.0,2,,,,,,,,,Dias,,24.0,2.0,,,,,,
9639,33,4.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
9639,88,99.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
9650,55,99.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9659,116,5.0,2,,,,,,,,,Meses,3.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0
9684,109,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
9695,97,6.0,2,,,,,,,,,Dias,,15.0,2.0,,,,,,
9719,3,5.0,1,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,2.0,,,,,,
9719,3,99.0,1,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,22.0,2.0,,,,,,
9719,109,99.0,2,,,,,,,,,Dias,,18.0,2.0,,,,,,
9719,170,4.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
9720,5,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9731,126,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
9731,130,3.0,1,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,Meses,1.0,,2.0,,,,,,
9735,50,5.0,2,,,,,,,,,Meses,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0
9736,33,5.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
9736,33,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9736,105,4.0,2,,,,,,,,,Dias,,32.0,2.0,,,,,,
9736,105,5.0,2,,,,,,,,,Dias,,32.0,2.0,,,,,,
9740,55,99.0,2,,,,,,,,,Nunca,,,,,,,,,
9740,56,3.0,2,,,,,,,,,Dias,,5.0,2.0,,,,,,
9740,58,99.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,28.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
9740,133,7.0,2,,,,,,,,,N/S,,,2.0,,,,,,
9740,135,4.0,2,,,,,,,,,Meses,14.0,,2.0,,,,,,
9756,2,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
9756,3,8.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
9756,55,10.0,1,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,Dias,,14.0,2.0,,,,,,
9770,14,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
9770,15,6.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
9770,117,6.0,2,,,,,,,,,Meses,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0
9820,4,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,4.0,,2.0,,,,,,
9820,19,99.0,2,,,,,,,,,Dias,,49.0,2.0,,,,,,
9827,29,5.0,2,,,,,,,,,Dias,,13.0,2.0,,,,,,
9943,5,99.1,2,,,,,,,,,Meses,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0
9943,5,99.2,2,,,,,,,,,Dias,,21.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
10012,7,99.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,6.0,2.0,,,,,,
10012,63,7.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
10020,62,7.0,2,,,,,,,,,Nunca,,,,,,,,,
10060,52,4.0,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,Dias,,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
10060,132,4.0,2,,,,,,,,,Dias,,3.0,2.0,,,,,,
10080,11,99.0,2,,,,,,,,,Meses,5.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0
10080,67,3.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0
10080,101,5.0,2,,,,,,,,,Dias,,1.0,2.0,,,,,,
10111,55,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
10122,30,6.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
10122,44,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
10122,114,9.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
10122,114,11.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
10150,1,6.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
10150,2,6.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,2.0,2.0,2.0,3.0,2.0
10150,83,99.0,2,,,,,,,,,Dias,,28.0,2.0,,,,,,
10175,113,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
10176,137,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
10183,117,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
10210,45,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
10245,110,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
10254,157,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
10262,160,7.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
10262,161,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
10323,48,7.0,2,,,,,,,,,Dias,,16.0,2.0,,,,,,
10327,36,99.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
10327,90,6.0,1,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Dias,,13.0,2.0,,,,,,
10327,91,7.0,2,,,,,,,,,Dias,,52.0,2.0,,,,,,
10327,91,99.0,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,Dias,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
10359,30,5.0,2,,,,,,,,,Dias,,18.0,2.0,,,,,,
10359,133,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Meses,5.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0
10359,135,8.0,2,,,,,,,,,Nunca,,,,,,,,,
10371,101,3.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
10380,11,7.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
10380,55,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
10380,142,14.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
