CONGLOME,VIVIENDA,ID,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113_BICICLETA,P113_MOTOCICLETA,P113_CARRO,P113_OTRO,P111_TEL_FIJO,P111_TEL_CELULAR,P111_CABLE,P111_INTERNET,P112_RADIO,P112_TELEVISOR,P112_COMPUTADORA,P112_HORNO,P112_LAVADORA,P112_REFRIGERADORA,P112_COCINA,P112_PLANCHA,P112_EQUIPO
5764,48,99.0,1,6,4,6,3,7,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5764,48,9.0,1,6,4,6,3,7,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5792,50,8.0,1,1,1,5,7,5,1,2,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
5849,29,6.0,1,1,1,5,1,1,1,5,4,2,23,125678,1,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2
5898,81,3.0,1,1,1,5,1,1,1,10,2,6,2,178,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2
5925,83,9.0,1,3,4,5,7,5,1,3,2,6,23,26,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2
5952,27,4.0,1,3,4,6,2,4,1,2,2,6,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2
5952,28,4.0,1,3,4,5,5,5,1,2,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
5952,63,5.0,1,3,4,6,5,4,1,3,2,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
5984,14,4.0,1,3,4,5,7,5,1,1,1,6,2,17,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
6038,67,5.0,1,1,1,5,1,1,1,6,3,2,23,234567,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2
6059,36,6.0,1,1,1,5,1,1,1,3,2,2,2,25678,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2
6063,20,4.0,1,6,4,5,1,5,1,2,2,2,24,123456789,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1
6078,65,5.0,1,6,4,5,1,5,1,2,2,2,24,23456789,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1
6125,96,3.0,2,1,1,1,1,1,1,3,2,2,1234,123456789,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6251,58,6.0,1,1,1,3,1,1,1,3,3,2,2,123456789,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
6266,86,4.0,1,3,4,6,1,1,1,2,1,2,2,1278,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2
6287,77,5.0,1,5,7,6,7,5,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6298,42,5.0,1,3,3,6,7,5,1,2,2,6,2,19,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1
6343,32,8.0,1,3,4,5,2,2,1,3,2,8,23,1278,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2
6343,56,4.0,1,3,4,5,2,2,1,1,1,2,2,127,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
6417,28,5.0,1,3,3,6,6,4,1,4,2,6,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
6421,45,4.0,1,3,4,4,1,2,1,1,1,2,2,1257,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2
6483,81,6.0,1,3,4,6,1,1,1,6,3,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
6507,44,3.0,1,1,1,3,1,1,1,3,1,2,234,1237,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2
6546,23,5.0,1,1,4,5,1,1,1,4,3,2,23,1256789,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1
6546,36,6.0,1,1,1,5,1,1,1,3,3,2,23,1256789,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1
6569,45,7.0,1,1,1,5,4,5,1,1,1,6,23,27,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
6569,47,6.0,1,6,4,5,4,3,1,9,5,2,23,12678,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2
6584,57,6.0,1,6,4,6,1,3,1,4,3,6,2,9,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
6602,42,5.0,5,3,4,6,3,3,5,2,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
6602,42,4.0,5,3,4,6,3,3,5,2,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
6602,44,5.0,5,3,4,6,3,5,1,2,1,6,5,12,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
6621,94,5.0,1,3,3,6,1,5,1,4,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
