,CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
62,5792,50,8.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
63,5810,129,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Meses,1.0,,2.0,,,,,,
64,5810,133,99.0,1,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,2.0,,,,,,
65,5849,29,6.0,2,,,,,,,,,Dias,,6.0,2.0,,,,,,
66,5898,81,3.0,2,,,,,,,,,Dias,,51.0,2.0,,,,,,
67,5925,83,9.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,Meses,14.0,,2.0,,,,,,
68,5933,112,6.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
69,5933,113,7.0,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0
70,5938,138,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,17.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
71,5952,27,4.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
72,5952,28,4.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,1.0,2.0,,,,,,
73,5952,63,5.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
74,5978,159,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Meses,2.0,,2.0,,,,,,
75,5984,14,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
76,6028,7,3.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
77,6038,67,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
78,6044,54,5.0,2,,,,,,,,,Dias,,19.0,2.0,,,,,,
79,6059,36,6.0,2,,,,,,,,,Meses,9.0,,2.0,,,,,,
80,6061,77,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,9.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
81,6063,20,4.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,Dias,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
82,6064,1,4.0,2,,,,,,,,,Dias,,9.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
83,6065,45,99.0,2,,,,,,,,,Dias,,19.0,2.0,,,,,,
84,6065,113,99.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0
85,6078,65,5.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
86,6092,139,4.0,2,,,,,,,,,Meses,7.0,,2.0,,,,,,
87,6095,19,12.0,2,,,,,,,,,Meses,9.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0
88,6098,140,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,12.0,,2.0,,,,,,
89,6119,42,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
90,6125,96,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
91,6126,147,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
92,6141,110,4.0,2,,,,,,,,,Dias,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0
93,6179,159,4.0,2,,,,,,,,,Dias,,45.0,2.0,,,,,,
94,6195,68,99.0,2,,,,,,,,,Dias,,12.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
95,6207,110,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,6251,58,6.0,2,,,,,,,,,Meses,18.0,,2.0,,,,,,
97,6266,86,4.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,12.0,2.0,,,,,,
98,6287,3,3.0,2,,,,,,,,,Dias,,1.0,2.0,,,,,,
99,6287,77,5.0,2,,,,,,,,,Dias,,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
100,6292,65,99.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
101,6298,42,5.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
102,6298,107,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
103,6314,199,6.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
104,6322,22,7.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,6343,32,8.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,14.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
106,6343,47,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,28.0,2.0,,,,,,
107,6343,56,4.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0
108,6352,351,99.0,1,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Dias,,15.0,2.0,,,,,,
109,6364,71,7.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
110,6417,28,5.0,1,32.0,2.0,2.0,2.0,1.0,1.0,1.0,,Meses,3.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0
111,6417,181,6.0,1,18.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0
112,6421,45,4.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
113,6433,36,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0
114,6448,27,8.0,1,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Meses,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,1.0
115,6460,101,7.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,10.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0
116,6483,72,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
117,6483,81,6.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,45.0,2.0,,,,,,
118,6483,225,6.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
119,6483,237,10.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
120,6507,44,3.0,2,,,,,,,,,Meses,18.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0
121,6546,23,5.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
122,6546,36,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
123,6569,45,7.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
124,6569,47,6.0,2,,,,,,,,,Dias,,49.0,2.0,,,,,,
125,6569,127,99.0,2,,,,,,,,,Dias,,51.0,2.0,,,,,,
126,6569,137,4.0,1,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,Dias,,15.0,2.0,,,,,,
127,6572,114,8.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,23.0,2.0,,,,,,
128,6572,118,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0
129,6581,82,99.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
130,6584,57,6.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,Dias,,5.0,2.0,,,,,,
131,6595,141,99.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,11.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
132,6595,143,6.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,10.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
133,6597,166,5.0,1,24.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,45.0,2.0,,,,,,
134,6602,42,4.0,2,,,,,,,,,Dias,,24.0,2.0,,,,,,
135,6602,42,5.0,2,,,,,,,,,Dias,,39.0,2.0,,,,,,
136,6602,44,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,10.0,2.0,,,,,,
137,6621,94,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
138,6643,6,5.0,1,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,Dias,,8.0,2.0,,,,,,
139,6643,24,5.0,2,,,,,,,,,Dias,,5.0,2.0,,,,,,
140,6651,55,4.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
141,6651,194,4.0,2,,,,,,,,,Dias,,28.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
142,6651,194,7.0,2,,,,,,,,,Dias,,28.0,2.0,,,,,,
143,6652,94,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,26.0,2.0,,,,,,
144,6652,102,5.0,2,,,,,,,,,Dias,,15.0,2.0,,,,,,
145,6712,53,6.0,2,,,,,,,,,Dias,,27.0,2.0,,,,,,
146,6713,2,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
147,6713,112,4.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
148,6740,27,6.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
149,6740,108,3.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
150,6788,61,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
151,6788,146,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,9.0,,2.0,,,,,,
152,6792,91,4.0,2,,,,,,,,,Dias,,29.0,2.0,,,,,,
153,6798,63,5.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
154,6807,45,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
155,6809,5,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
156,6809,81,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
157,6843,53,8.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
158,6850,35,5.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
159,6866,81,99.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
160,6905,97,4.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
161,6960,98,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
162,6960,98,99.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
163,6981,9,6.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
164,6981,51,4.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,Meses,2.0,,2.0,,,,,,
165,7002,49,99.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
166,7033,42,6.0,2,,,,,,,,,Dias,,36.0,2.0,,,,,,
167,7033,46,6.0,2,,,,,,,,,Dias,,45.0,2.0,,,,,,
168,7041,301,5.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
169,7069,1,4.0,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,Meses,3.0,,2.0,,,,,,
170,7087,126,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
171,7101,7,99.0,2,,,,,,,,,Dias,,25.0,2.0,,,,,,
172,7108,101,5.0,2,,,,,,,,,Dias,,17.0,2.0,,,,,,
173,7108,241,99.0,2,,,,,,,,,Dias,,17.0,2.0,,,,,,
174,7122,1,3.0,2,,,,,,,,,Meses,6.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0
175,7145,61,2.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
176,7145,97,5.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
177,7145,115,3.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
178,7158,13,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Meses,2.0,,2.0,,,,,,
179,7180,96,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
180,7182,89,99.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
181,7203,80,4.0,2,,,,,,,,,Dias,,13.0,2.0,,,,,,
182,7207,42,4.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
183,7207,86,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
184,7208,73,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
185,7208,112,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
186,7236,196,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
187,7239,20,6.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
188,7239,20,9.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
189,7241,84,6.0,2,,,,,,,,,Dias,,37.0,2.0,,,,,,
190,7241,211,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Meses,6.0,,2.0,,,,,,
191,7241,214,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
192,7246,25,3.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
193,7246,26,5.0,1,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,Meses,2.0,,2.0,,,,,,
194,7246,60,4.0,2,,,,,,,,,Dias,,45.0,2.0,,,,,,
195,7248,86,9.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
196,7248,87,7.0,2,,,,,,,,,Dias,,23.0,2.0,,,,,,
197,7248,88,5.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
198,7248,88,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
199,7253,77,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
200,7279,75,4.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,Dias,,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
201,7279,76,4.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
202,7279,76,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
203,7302,23,5.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
204,7326,109,5.0,2,,,,,,,,,Dias,,25.0,2.0,,,,,,
205,7333,8,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
206,7333,8,99.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
207,7339,136,7.0,2,,,,,,,,,Meses,14.0,,2.0,,,,,,
208,7397,55,6.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
209,7411,165,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
210,7439,30,6.0,2,,,,,,,,,Meses,8.0,,2.0,,,,,,
211,7442,373,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,6.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0
212,7443,165,9.0,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,Dias,,1.0,2.0,,,,,,
213,7446,10,8.0,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,1.0,,2.0,,,,,,
214,7446,126,5.0,2,,,,,,,,,Dias,,16.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
215,7446,127,8.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
216,7446,127,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
217,7446,128,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
218,7460,60,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Meses,1.0,,2.0,,,,,,
219,7511,56,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,17.0,2.0,,,,,,
220,7511,187,4.0,2,,,,,,,,,Dias,,9.0,2.0,,,,,,
221,7529,60,6.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
